dev1,"While he was in Spain in 1959, he wrote ""The Dangerous Summer"", a story about rival bullfighters",Hemingway,1
dev2,"Like a door, a Broadway show does these 2 things",open & close,1
dev3,A valley at 282 feet below sea level in this state is the lowest point in the Western Hemisphere,California,1
dev4,"Like banks, many grocery stores now have these for dispensing cash & taking deposits",ATMs,1
dev5,"He was the voice of Mickey Mouse in ""Steamboat Willie""",Walt Disney,1
dev6,Eastern European capital city of more than 2.2 million,Bucharest,1
dev7,"In 1884 she moved to Red Cloud, Nebraska & later fictionalized it as the town of Hanover in ""O Pioneers!""",Willa Cather,1
dev8,In 2006 it began on July 1 in Strasbourg & ended on July 23 in Paris,the Tour de France,1
dev9,"With 6,640 miles of coast, this state has the longest shoreline",Alaska,1
dev10,(Cheryl of the Clue Crew reports from the Catalina Island Conservancy.) Rampant use of this 3-letter insecticide lead to a hefty settlement for restorating the population of Catalina's bald eagles,DDT,1
dev11,"(Hi, I'm Harry Shearer.) Among my many ""Simpsons"" voices are the subservient Smithers & this man who lives next door to Homer--Howdy, neighbor",Ned Flanders,1
dev12,Any mountain's summit,crest,1
dev13,"(Alex reports from the Mark Twain House.) Mark Twain said that this anti-slavery novelist, his next-door neighbor, liked to sneak up behind people and ""fetch a war-whoop that would jump that person out of his clothes""",(Harriet Beecher) Stowe,1
dev14,"""From"" this to this is an idiom meaning from the start of a meal (or something else) to the end",from soup to nuts,1
dev15,"It pumps more than one million barrels of oil a day, more than any other state",Texas,1
dev16,"""Day to Day"" & ""All Things Considered"" are among the programs going out to its 26 million listeners",NPR,1
dev17,The voice of Daffy Duck (for the first 50 years),Mel Blanc,1
dev18,A braced framework for carrying a railroad over a chasm,a trestle,1
dev19,"Under the name Laura Bancroft, he wrote about Twinkle & Chubbins in Nature Fairyland after taking us to Oz",L. Frank Baum,1
dev20,These titles of the 2 paintings seen here represent the beginning & end of Jesus' life,"""The Nativity"" & ""The Crucifixion""",1
dev21,"Considered the healthiest state in 2006, it's also home to the Mayo Clinic",Minnesota,1
dev22,"Its headquarters compound in Langley, Virginia is named for Former President George Bush",the CIA,1
dev23,"He voiced Puss In Boots in ""Shrek 2""",Antonio Banderas,1
dev24,Quickly! (to an Italian),Presto,1
dev25,"William Rose Benet won a Pulitzer for ""The Dust Which Is God"", & this brother won for ""John Brown's Body""",Stephen Vincent Benet,1
dev26,"(Cheryl of the Clue Crew indicates the monitor.) A porkchop plot, named for its shape, is used for planning space missions; the vertical & horizontal axes plot possible dates for these 2 flight events",takeoff & landing (or launch & arrival),1
dev27,Its Boeing manufacturing plant in Everett is the world's largest building by volume,Washington,1
dev28,"A TV cable network, or an explosive for bombs",TNT,1
dev29,He provided the voices of both Beavis & Butthead,Mike Judge,1
dev30,"The son of Agamemnon, he avenged his father's death by killing his mother Clytemnestra",Orestes,1
dev31,In 1718 this Texas town was founded by Martin de Alarcon & Father Olivares & named for St. Anthony of Padua,San Antonio,1
dev32,"1980: ""Regular Folks""",Ordinary People,1
dev33,In 1986 Mexico scored as the first country to host this international sports competition twice,the World Cup,1
dev34,"Going on a cruise? You might pick up this Pfizer product, the ""original"" or ""less drowsy"" formula",Dramamine,1
dev35,The bestselling passenger car of all time is this company's Corolla,Toyota,1
dev36,A Hawaiian wreath becomes an area sheltered from wind,a lei & a lee,1
dev37,"In defending British soldiers on trial for this 1770 event, John Adams said, ""Facts are stubborn things""",the Boston Massacre,1
dev38,"1932: ""Magnificent Inn""",Grand Hotel,1
dev39,This resort city about 200 miles southwest of Mexico City is famous for its cliff divers,Acapulco,1
dev40,"Antabuse is designed to make you feel really, really bad after ingesting this",alcohol,1
dev41,"The transport for a 19th century double date might have been a barouche, one of these",a carriage,1
dev42,"A ""landing"" area is transformed into a serious throat infection",strep & strip,1
dev43,"In 1685 he joined his father in pastorship of the Old North Church, a post he held until his death",Cotton Mather,1
dev44,"1976: ""A Single Colorado Mountain""",Rocky,1
dev45,"Founded in the 1530s, this capital of Jalisco state is the second-largest in Mexico",Guadalajara,1
dev46,Estramustine is a chemotherapy agent for this glandular cancer in men,prostate cancer,1
dev47,"Cabbies in this Eur. city spend 2 years gaining ""the knowledge"", mental maps needed to get a license",London,1
dev48,"""Gentle"" becomes ""to blend""",mild & meld,1
dev49,"In 1562, in what is now S.C., these French Protestants established a colony named Port Royal",the Huguenots,1
dev50,"1954: ""Dockside""",On the Waterfront,1
dev51,This gritty 1961 Tennessee Williams play unfolds in a seedy Mexican hotel,Night of the Iguana,1
dev52,Pravastatin aims to block your body's ability to make this,cholesterol,1
dev53,"In ""Sixteen Candles"", Molly Ringwald says, ""I loathe"" this method of transport",the bus,1
dev54,"One means ""severely tested""; the other, ""trapped on a branch""",tried & treed,1
dev55,"In ""Of Plymouth Plantation"", he wrote that there was so much disease ""the living were scarce able to bury the dead""",William Bradford,1
dev56,"1966: ""One Bloke Year-Round""",A Man For All Seasons,1
dev57,This popular resort island lies north of Cozumel off the coast of the state of Quintana Roo,Cancun,1
dev58,This tranquilizer that sounds like a village was introduced in 1955 & became the USA's bestselling drug,Miltown,1
dev59,Since 1899 these stalwart animals used in transport have served as the mascots of the Army Corps of Cadets,mules,1
dev60,"""To replenish"" becomes ""to knock down""",to fill & to fell,1
dev61,"Richard Attenborough, who was in the original 1952 cast of this play, helped celebrate its performance No. 20,000 in 2000",The Mousetrap,1
dev62,"Stephen Ambrose looked at this president's ""Ruin and Recovery, 1973-1990""",Richard Nixon,1
dev63,"In 1958 the theme of the first national week for these places was ""Wake up & read!""",libraries,1
dev64,"1960 film that says ""Matricide is probably the most unbearable crime of all"", especially for ""the son who commits it""",Psycho,1
dev65,The largest in area of the 3,England,1
dev66,"Milvina Dean, who had this distinction among the 2,200 people on board, lived to see the 95th anniv. in 2007",the youngest person,1
dev67,"Fighting ferociously, you go at it this ""& nail""",tooth,1
dev68,"A biography of him is subtitled ""Man's Slave Becomes God's Scientist""",George Washington Carver,1
dev69,"This is a rough week for pledges, but if they can make it through, they can be fraternity members",hell week,1
dev70,"Her 6-minute role as Queen Elizabeth in ""Shakespeare in Love"" was the shortest Oscar-winning role",Judi Dench,1
dev71,Tony Blair was born there,Scotland,1
dev72,"The U.S. Senate inquiry noted that the 16 compartments in the Titanic's hull that supposedly were this, weren't",watertight,1
dev73,"It's a signal at night for soldiers to go to their quarters, or an indelible pattern drawn on the skin",a tattoo,1
dev74,"""The Apotheosis of"" this English navigator explores ""European Mythmaking in the Pacific""",(James) Cook,1
dev75,"Each year, World Space Week is at the start of October, commemorating this 1957 event",the Sputnik launch,1
dev76,"Chris O'Donnell was originally cast as her son in ""Prince of Tides"", but she chose her real son instead",Barbra Streisand,1
dev77,The one that is technically a principality,Wales,1
dev78,"The Titanic carried plenty of these, 3,560, but many passengers died wearing them in the 28-degree water",lifejackets,1
dev79,It's a small porch on the front of the house,a stoop,1
dev80,"He's called a ""Rough Stone Rolling"" in a 2005 ""Cultural Biography of Mormonism's Founder""",Joseph Smith,1
dev81,"In 1999 this country began 3 ""golden weeks"" of vacation for its vast populace, including one around May Day",China,1
dev82,"Anthony Hopkins said his voice for this movie role was ""a combination of Truman Capote and Katharine Hepburn""",Hannibal Lecter,1
dev83,It has the westernmost territory,Scotland,1
dev84,"You can still see the crane to lower these; the starboard & port ones weighed 9 tons, the center one, 17 tons",anchors,1
dev85,"As seen here, seaplanes have these, or they'd be at the bottom of the sea",pontoons,1
dev86,"""The Corsican"" is a diary of his life ""In His Own Words""",Napoleon,1
dev87,"Carrie on ""Sex and the City"" really enjoyed this event that brings ships & thousands of sailors to NYC",Fleet Week,1
dev88,Schwarzenegger is a Soviet cop teamed with James Belushi's Chicago cop in this action movie,Red Heat,1
dev89,The Cambrian Mountains cover most of it,Wales,1
dev90,"The ship was so big, communication was by telegraph from this navigating area to the engine room",the bridge,1
dev91,"It's a string or garland of flowers hung in a curve, or to decorate with them",festoon,1
dev92,"As president of this country, Antonio Guzman Blanco had a new capital built in Caracas",Venezuela,1
dev93,"There have been more popes of this name than any other, but the last, number XXIII, was more than 40 years ago",John,1
dev94,"Adjective for handwriting that can actually be read, unlike my doctor's",legible,1
dev95,His grandfather Erasmus argued in favor of evolution 60 years before he took up the cause himself,(Charles) Darwin,1
dev96,"On his first night taking over ""The Daily Show"", he informed us, ""Craig Kilborn is on assignment in Kuala Lumpur""",Jon Stewart,1
dev97,"He celebrated his 86th birthday at ""21"" by having his own famous fried chicken delivered to his table in section 21",Colonel Sanders,1
dev98,"The USA's second ""drug czar"", Bob Martinez had been governor of this state",Florida,1
dev99,The VI & last pope to have this name reigned from 1963 to 1978,Paul,1
dev100,"Easily duped or conned, perhaps like a seabird",gullible,1
